Code du partenaire;Adresse compléte;ID adresse;Rue;Bloquer;Ville;Code postal;Nom
ES917630212;FARMACIA-OPTICA SAN LORENZO AVDA. BARRANQUILLA, 7   Madrid 28033 Spain;FARMACIA-OPTICA SAN LORENZO;AVDA. BARRANQUILLA, 7;;Madrid;28033;Spain
ES917960587;OPTICA MARQUEZ ANOETA, 29   Madrid 28041 Spain;OPTICA MARQUEZ;ANOETA, 29;;Madrid;28041;Spain
ES917974252;CENTRO OPTICO DIAMANTE DIAMANTE, 3   Madrid 28021 Spain;CENTRO OPTICO DIAMANTE;DIAMANTE, 3;;Madrid;28021;Spain
ES918081269;CENTRO OPTICO PARADISE SAN VICENTE DE PAÚL, 28   Madrid 28342 Spain;CENTRO OPTICO PARADISE;SAN VICENTE DE PAÚL, 28;;Madrid;28342;Spain
ES918423319;CENTRO OPTICO COLMENAREJO   MADRID, 15 B   Madrid 28270 Spain;CENTRO OPTICO COLMENAREJO;  MADRID, 15 B;;Madrid;28270;Spain
ES918435101;CENTRO OPTICO SAN AGUSTIN PLAZA JUAN CARLOS I, 1   Madrid 28750 Spain;CENTRO OPTICO SAN AGUSTIN;PLAZA JUAN CARLOS I, 1;;Madrid;28750;Spain
ES918444036;OPTICA MIRAFLORES  JERONIMO SASTRE 1 LOCAL 4B   Madrid 28792 Spain;OPTICA MIRAFLORES; JERONIMO SASTRE 1 LOCAL 4B;;Madrid;28792;Spain
ES918456745;OPTICA DAURA PLAZA DE LA MARINA, 3   Madrid 28770 Spain;OPTICA DAURA;PLAZA DE LA MARINA, 3;;Madrid;28770;Spain
ES918462522;OPTICA DAURA MOLINO DEL VIENTO, 5   Madrid 28770 Spain;OPTICA DAURA;MOLINO DEL VIENTO, 5;;Madrid;28770;Spain
ES918462815;CENTRO OPTICO SERRANO C.C.EL MIRADOR,EDIF.F LOCAL7   Madrid 28770 Spain;CENTRO OPTICO SERRANO;C.C.EL MIRADOR,EDIF.F LOCAL7;;Madrid;28770;Spain
ES918479474;ORTOPEDIA MAYOR CTRA. DE JAEN, S/N   Granada 18014 Spain;ORTOPEDIA MAYOR;CTRA. DE JAEN, S/N;;Granada;18014;Spain
ES918506236;OPTICA VERA BATALLA DE BAILEN, 2   Madrid 28400 Spain;OPTICA VERA;BATALLA DE BAILEN, 2;;Madrid;28400;Spain
ES918559843;OPTICA LOS OLIVOS   ESCOFINA, 60,CC. LOS OLIVOS   Madrid 28400 Spain;OPTICA LOS OLIVOS;  ESCOFINA, 60,CC. LOS OLIVOS;;Madrid;28400;Spain
ES918566895;CENTRO OPTICO LENS LAS CARRETAS, 3   Madrid 28240 Spain;CENTRO OPTICO LENS;LAS CARRETAS, 3;;Madrid;28240;Spain
ES918578737;OPTICA VER BIEN DE LA IGLESIA, 17   Madrid 28411 Spain;OPTICA VER BIEN;DE LA IGLESIA, 17;;Madrid;28411;Spain
ES918625441;OPTICA ALBERCHE JOSE NAVARRO MOREMES, Nº 2   Ávila 5270 Spain;OPTICA ALBERCHE;JOSE NAVARRO MOREMES, Nº 2;;Ávila;5270;Spain
ES918660495;OPTICA SOTILLO AVDA. DE MADRID, 29 A   Ávila 5420 Spain;OPTICA SOTILLO;AVDA. DE MADRID, 29 A;;Ávila;5420;Spain
ES918765396;CENTRO OPTICO CAMPO REAL CTRA DE VILLAR DEL OLMO,41   Madrid 28510 Spain;CENTRO OPTICO CAMPO REAL;CTRA DE VILLAR DEL OLMO,41;;Madrid;28510;Spain
ES918813130;PRIMERA OPTICOS VICAR MANUEL AZAÑA, 16   Madrid 28805 Spain;PRIMERA OPTICOS VICAR;MANUEL AZAÑA, 16;;Madrid;28805;Spain
ES918877610;MECOVISION COLEGIOS, 2, LOCAL 3   Madrid 28880 Spain;MECOVISION;COLEGIOS, 2, LOCAL 3;;Madrid;28880;Spain
ES918907936;C. O. VILLA DEL ESCORIAL   DOS DE MAYO, Nº2, LOCAL 1   Madrid 28280 Spain;C. O. VILLA DEL ESCORIAL;  DOS DE MAYO, Nº2, LOCAL 1;;Madrid;28280;Spain
ES918910034;OPTICA LOHADE GOBERNADOR, 50   Madrid 28300 Spain;OPTICA LOHADE;GOBERNADOR, 50;;Madrid;28300;Spain
ES918913202;OPTICA DOS CARRETERA DE ANDALUCIA,38   Madrid 28300 Spain;OPTICA DOS;CARRETERA DE ANDALUCIA,38;;Madrid;28300;Spain
ES918926371;OPTICA LOHADE ALMIBAR, 79   Madrid 28300 Spain;OPTICA LOHADE;ALMIBAR, 79;;Madrid;28300;Spain
ES918940132;OPTICA CHINCHON CALLE DEL CONVENTO, 3 A   Madrid 28370 Spain;OPTICA CHINCHON;CALLE DEL CONVENTO, 3 A;;Madrid;28370;Spain
ES918951186;OPTIRED GLORIETA DEL UNIVERSO, 9   Madrid 28342 Spain;OPTIRED;GLORIETA DEL UNIVERSO, 9;;Madrid;28342;Spain
ES918977039;OPTI-VAL PLAZA CONSTITUCION, 7   Madrid 28210 Spain;OPTI-VAL;PLAZA CONSTITUCION, 7;;Madrid;28210;Spain
ES920220153;SANCHEZ OPTICO DUQUE DE ALBA, 1   Ávila 5001 Spain;SANCHEZ OPTICO;DUQUE DE ALBA, 1;;Ávila;5001;Spain
ES920227678;OPTICA MONTEJO LA ERAS, 8   Ávila 5002 Spain;OPTICA MONTEJO;LA ERAS, 8;;Ávila;5002;Spain
ES921521428;OPTICA PRISMA FRONTON, 10   Segovia 40320 Spain;OPTICA PRISMA;FRONTON, 10;;Segovia;40320;Spain
ES921560427;FARMACIA-OPTICA SEISDEDOS PLAZA POSITO REAL, 3   Segovia 40270 Spain;FARMACIA-OPTICA SEISDEDOS;PLAZA POSITO REAL, 3;;Segovia;40270;Spain
ES922179088;OPTICA MEDANO JOSE MIGUEL GALVAN BELLO, 28   Sta. Cruz de Tenerife 38612 Spain;OPTICA MEDANO;JOSE MIGUEL GALVAN BELLO, 28;;Sta. Cruz de Tenerife;38612;Spain
ES922205455;CENTRO OPTICO LA GRANJA PABLO PICASSO, 8   Sta. Cruz de Tenerife 38007 Spain;CENTRO OPTICO LA GRANJA;PABLO PICASSO, 8;;Sta. Cruz de Tenerife;38007;Spain
ES922244024;OPTICA PRISMA SUAREZ GUERRA, 30   Sta. Cruz de Tenerife 38002 Spain;OPTICA PRISMA;SUAREZ GUERRA, 30;;Sta. Cruz de Tenerife;38002;Spain
ES922244336;OPTICA FERNANDEZ-OLIVA PASAJE SAN PEDRO 4   Sta. Cruz de Tenerife 38001 Spain;OPTICA FERNANDEZ-OLIVA;PASAJE SAN PEDRO 4;;Sta. Cruz de Tenerife;38001;Spain
ES922249633;OPTICA ROBAYNA   ROBAYNA, Nº 16   Sta. Cruz de Tenerife 38004 Spain;OPTICA ROBAYNA;  ROBAYNA, Nº 16;;Sta. Cruz de Tenerife;38004;Spain
ES922271901;OPTICA LA ROSA   LA ROSA, 9   Sta. Cruz de Tenerife 38000 Spain;OPTICA LA ROSA;  LA ROSA, 9;;Sta. Cruz de Tenerife;38000;Spain
ES922285650;OPTICA CHICOTE GENERAL MOLA, 15   Sta. Cruz de Tenerife 38006 Spain;OPTICA CHICOTE;GENERAL MOLA, 15;;Sta. Cruz de Tenerife;38006;Spain
ES922287173;INTEROPTICA BETHANCOURT ALFONSO, 34   Sta. Cruz de Tenerife 38002 Spain;INTEROPTICA;BETHANCOURT ALFONSO, 34;;Sta. Cruz de Tenerife;38002;Spain
ES922301819;OPTICA SANTA URSULA CRTA. DE ESPAÑA, 24   Sta. Cruz de Tenerife 38390 Spain;OPTICA SANTA URSULA;CRTA. DE ESPAÑA, 24;;Sta. Cruz de Tenerife;38390;Spain
ES922321821;OPTICA LA CASITA COLOGAN, 7   Sta. Cruz de Tenerife 38300 Spain;OPTICA LA CASITA;COLOGAN, 7;;Sta. Cruz de Tenerife;38300;Spain
ES922334079;OPTICA LLANOS II SAN JUAN BOSCO, 3   Sta. Cruz de Tenerife 38300 Spain;OPTICA LLANOS II;SAN JUAN BOSCO, 3;;Sta. Cruz de Tenerife;38300;Spain
ES922362343;OPTICAS VISION NORTE CTRA. TOSCAL-LONGUERA, 3   Sta. Cruz de Tenerife 38410 Spain;OPTICAS VISION NORTE;CTRA. TOSCAL-LONGUERA, 3;;Sta. Cruz de Tenerife;38410;Spain
ES922376026;OPTICA NUEVAVISION AVD FAMILIA BETACOURT Y MOLINA   Sta. Cruz de Tenerife 38400 Spain;OPTICA NUEVAVISION;AVD FAMILIA BETACOURT Y MOLINA;;Sta. Cruz de Tenerife;38400;Spain
ES922387072;OPTICA COLUMBUS QUINTANA, 2   Sta. Cruz de Tenerife 38400 Spain;OPTICA COLUMBUS;QUINTANA, 2;;Sta. Cruz de Tenerife;38400;Spain
ES922388107;OPTICA PIRAMIDES AVDA. AGUILAR Y QUESADA, Nº 1   Sta. Cruz de Tenerife 38400 Spain;OPTICA PIRAMIDES;AVDA. AGUILAR Y QUESADA, Nº 1;;Sta. Cruz de Tenerife;38400;Spain
ES922389975;VISUAL CENTER MADHU ACEVIÑO 4, LOCAL C-6   Sta. Cruz de Tenerife 38400 Spain;VISUAL CENTER MADHU;ACEVIÑO 4, LOCAL C-6;;Sta. Cruz de Tenerife;38400;Spain
ES922416338;NOVAFOTO-OPTICO   ANSELMO PEREZ DE BRITO, 5   Sta. Cruz de Tenerife 38700 Spain;NOVAFOTO-OPTICO;  ANSELMO PEREZ DE BRITO, 5;;Sta. Cruz de Tenerife;38700;Spain
ES922417308;CENTRO OPTICO LUIS   CASTILLETE, Nº 4   Sta. Cruz de Tenerife 38700 Spain;CENTRO OPTICO LUIS;  CASTILLETE, Nº 4;;Sta. Cruz de Tenerife;38700;Spain
ES922464552;OP.CENTRO AUDITIVO PLAZA CHICA AVDA VENEZUELA, 12   Sta. Cruz de Tenerife 38760 Spain;OP.CENTRO AUDITIVO PLAZA CHICA;AVDA VENEZUELA, 12;;Sta. Cruz de Tenerife;38760;Spain
ES922486554;OPTICA NARANJA   TANAUSU, 12   Sta. Cruz de Tenerife 38750 Spain;OPTICA NARANJA;  TANAUSU, 12;;Sta. Cruz de Tenerife;38750;Spain
ES922511866;PHARMAVISION CALVARIO, 55   Murcia 30157 Spain;PHARMAVISION;CALVARIO, 55;;Murcia;30157;Spain
ES922529516;OPTICASDEBOR   JUAN SEBASTIAN ELCANO, 2   Sta. Cruz de Tenerife 38508 Spain;OPTICASDEBOR;  JUAN SEBASTIAN ELCANO, 2;;Sta. Cruz de Tenerife;38508;Spain
ES922573996;OPTICA CENTER CTRA. TACORONTE-TEJINA, 7   Sta. Cruz de Tenerife 38356 Spain;OPTICA CENTER;CTRA. TACORONTE-TEJINA, 7;;Sta. Cruz de Tenerife;38356;Spain
ES922580222;OPTICA ACENTEJO LA VICTORIA   PEREZ DIAZ, 62   Sta. Cruz de Tenerife 38380 Spain;OPTICA ACENTEJO LA VICTORIA;  PEREZ DIAZ, 62;;Sta. Cruz de Tenerife;38380;Spain
ES922619553;OPTIVISION CENTRO OPTICO AV. LOS MAJUELOS, Nº 5   Sta. Cruz de Tenerife 38107 Spain;OPTIVISION CENTRO OPTICO;AV. LOS MAJUELOS, Nº 5;;Sta. Cruz de Tenerife;38107;Spain
ES922633543;OPTICA CANDILAS   CANDILAS, 27   Sta. Cruz de Tenerife 38202 Spain;OPTICA CANDILAS;  CANDILAS, 27;;Sta. Cruz de Tenerife;38202;Spain
ES922634615;OPTICA HERRADORES HERRADORES, 70   Sta. Cruz de Tenerife 38201 Spain;OPTICA HERRADORES;HERRADORES, 70;;Sta. Cruz de Tenerife;38201;Spain
ES922721637;OPTICA CABO BLANCO CARRETERA GENERAL, Nº 109   Sta. Cruz de Tenerife 38627 Spain;OPTICA CABO BLANCO;CARRETERA GENERAL, Nº 109;;Sta. Cruz de Tenerife;38627;Spain
ES922751378;OPTIK FENIX AVDA. LAS AMERICAS, 7   Sta. Cruz de Tenerife 38660 Spain;OPTIK FENIX;AVDA. LAS AMERICAS, 7;;Sta. Cruz de Tenerife;38660;Spain
ES922780899;OPTICA ADEJE S.L.   TINERFE EL GRANDE Nº 7   Sta. Cruz de Tenerife 38670 Spain;OPTICA ADEJE S.L.;  TINERFE EL GRANDE Nº 7;;Sta. Cruz de Tenerife;38670;Spain
ES922792603;CENTRO OPTICO BAILON SAN JERONIMO, 38   Granada 18001 Spain;CENTRO OPTICO BAILON;SAN JERONIMO, 38;;Granada;18001;Spain
ES922797876;CENTRO OPTICO DEL SUR AVDA. RAFAEL PUIG LLUVINA, 23   Sta. Cruz de Tenerife 38660 Spain;CENTRO OPTICO DEL SUR;AVDA. RAFAEL PUIG LLUVINA, 23;;Sta. Cruz de Tenerife;38660;Spain
ES922814639;OPTICA PUPILEN AVDA. 25 DE ABRIL, 93   Sta. Cruz de Tenerife 38430 Spain;OPTICA PUPILEN;AVDA. 25 DE ABRIL, 93;;Sta. Cruz de Tenerife;38430;Spain
ES922828368;OPTICA ANTONIO DOMINGUEZ   SAN AGUSTIN, 8   Sta. Cruz de Tenerife 38300 Spain;OPTICA ANTONIO DOMINGUEZ;  SAN AGUSTIN, 8;;Sta. Cruz de Tenerife;38300;Spain
ES922867395;OPTICA LUCIA AVDA MARITIMA, 23   Sta. Cruz de Tenerife 38683 Spain;OPTICA LUCIA;AVDA MARITIMA, 23;;Sta. Cruz de Tenerife;38683;Spain
ES922883169;VISUAL TEGUESTE OPTICOS CARMEN S/N   Sta. Cruz de Tenerife 38280 Spain;VISUAL TEGUESTE OPTICOS;CARMEN S/N;;Sta. Cruz de Tenerife;38280;Spain
ES923212545;OPTICA LA HORA ESPOZ Y MINA, 38-42   Salamanca 37002 Spain;OPTICA LA HORA;ESPOZ Y MINA, 38-42;;Salamanca;37002;Spain
ES923215065;OPTICA FERREIRA   POZO AMARILLO, 34   Salamanca 37001 Spain;OPTICA FERREIRA;  POZO AMARILLO, 34;;Salamanca;37001;Spain
ES923268993;OPTICA ASENSIO PRIOR, 6   Salamanca 37002 Spain;OPTICA ASENSIO;PRIOR, 6;;Salamanca;37002;Spain
ES923370067;C.O. ALBA DE TORMES SANCHEZ LLEVOT, 6-8   Salamanca 37800 Spain;C.O. ALBA DE TORMES;SANCHEZ LLEVOT, 6-8;;Salamanca;37800;Spain
ES923461012;OPTICA VASCONCELLOS DAMASO LEDESMA, 5   Salamanca 37500 Spain;OPTICA VASCONCELLOS;DAMASO LEDESMA, 5;;Salamanca;37500;Spain
ES924257555;CENTRO OPTICO R.VIÑALS AVDA. DE EUROPA, 7   Badajoz 6004 Spain;CENTRO OPTICO R.VIÑALS;AVDA. DE EUROPA, 7;;Badajoz;6004;Spain
ES924311551;OPTICA BARRAU RAMBLA MARTIR STA EULALIA, 14   Badajoz 6800 Spain;OPTICA BARRAU;RAMBLA MARTIR STA EULALIA, 14;;Badajoz;6800;Spain
ES924315331;OPTICA PERIAÑEZ   CERVANTES, 9   Badajoz 6800 Spain;OPTICA PERIAÑEZ;  CERVANTES, 9;;Badajoz;6800;Spain
ES924402019;OPTICA SAN MATEO PLAZA DE ESPAÑA, Nº 14   Badajoz 6510 Spain;OPTICA SAN MATEO;PLAZA DE ESPAÑA, Nº 14;;Badajoz;6510;Spain
ES924410552;CENTRO OPTICO GRIMAR   CERVANTES, 37   Badajoz 6500 Spain;CENTRO OPTICO GRIMAR;  CERVANTES, 37;;Badajoz;6500;Spain
ES924492063;JUBAL OPTICOS RUPERTO CHAPI, 1   Badajoz 6100 Spain;JUBAL OPTICOS;RUPERTO CHAPI, 1;;Badajoz;6100;Spain
ES924500304;ASSLE VISION   JESUS, 102   Badajoz 6240 Spain;ASSLE VISION;  JESUS, 102;;Badajoz;6240;Spain
ES924550784;OPTICA SAN MIGUEL AV. ADOLFO DIAZ AMBRONA MORENO   Badajoz 6300 Spain;OPTICA SAN MIGUEL;AV. ADOLFO DIAZ AMBRONA MORENO;;Badajoz;6300;Spain
ES924600048;OPTICA MORA CRUZ, 19-21   Badajoz 6600 Spain;OPTICA MORA;CRUZ, 19-21;;Badajoz;6600;Spain
ES924632060;L.G. VISION PLAZA DE LA MAGDALENA, S/N   Badajoz 6600 Spain;L.G. VISION;PLAZA DE LA MAGDALENA, S/N;;Badajoz;6600;Spain
ES924667447;CENTRO OPTICO GARCIA SANCHEZ MORENO NIETO, 5   Badajoz 6200 Spain;CENTRO OPTICO GARCIA SANCHEZ;MORENO NIETO, 5;;Badajoz;6200;Spain
ES924684176;OPTISARA   LA FUENTE, 13   Badajoz 6209 Spain;OPTISARA;  LA FUENTE, 13;;Badajoz;6209;Spain
ES924844710;VISION 10 RAMON Y CAJAL, 6A BAJO   Badajoz 6700 Spain;VISION 10;RAMON Y CAJAL, 6A BAJO;;Badajoz;6700;Spain
ES925210202;CENTRO GIMENEZ GIL AVDA. DE BARBER, 2, ESC D, 1-C   Toledo 45004 Spain;CENTRO GIMENEZ GIL;AVDA. DE BARBER, 2, ESC D, 1-C;;Toledo;45004;Spain
ES925215319;CENTRO EUROPEO DE OPTICA SILLERIA, 8   Toledo 45001 Spain;CENTRO EUROPEO DE OPTICA;SILLERIA, 8;;Toledo;45001;Spain
ES925221319;OPTICA MUÑOZ PLAZA DE ZOCODOVER, 10   Toledo 45001 Spain;OPTICA MUÑOZ;PLAZA DE ZOCODOVER, 10;;Toledo;45001;Spain
ES925252124;C. OPTOMETRICO ESPECIALIZADO   FUENTE DEL MORO, 4   Toledo 45006 Spain;C. OPTOMETRICO ESPECIALIZADO;  FUENTE DEL MORO, 4;;Toledo;45006;Spain
ES925320514;CENTRO OPTICO LOS YEBENES CONCEPCION, 3   Toledo 45470 Spain;CENTRO OPTICO LOS YEBENES;CONCEPCION, 3;;Toledo;45470;Spain
ES925431321;CENTRO OPTICO OROPESA PZA. DEL NAVARRO, Nº 10   Toledo 45560 Spain;CENTRO OPTICO OROPESA;PZA. DEL NAVARRO, Nº 10;;Toledo;45560;Spain
ES925461098;OPTICA GERSAN AVDA. JUAN CARLOS I, Nº 1   Toledo 45710 Spain;OPTICA GERSAN;AVDA. JUAN CARLOS I, Nº 1;;Toledo;45710;Spain
ES925472315;OPTICA IRIS RIO, 5   Toledo 45480 Spain;OPTICA IRIS;RIO, 5;;Toledo;45480;Spain
ES925516313;OPTISAZ AVDA. DE LA ALAMEDA, 4   Madrid 28140 Spain;OPTISAZ;AVDA. DE LA ALAMEDA, 4;;Madrid;28140;Spain
ES925520717;FARMACIA-OPTICA DORREGO PLAZA MAYOR, Nº 13   Toledo 45221 Spain;FARMACIA-OPTICA DORREGO;PLAZA MAYOR, Nº 13;;Toledo;45221;Spain
ES925555524;LOHADE OPTICA Y AUDIOLOGIA   PRIM, 34   Toledo 45250 Spain;LOHADE OPTICA Y AUDIOLOGIA;  PRIM, 34;;Toledo;45250;Spain
ES925561528;CENTRO OPTICO ALVA REAL, 98   Toledo 45880 Spain;CENTRO OPTICO ALVA;REAL, 98;;Toledo;45880;Spain
ES925716164;OPTICA OCAÑA 2 CALLE MAYOR, Nº 13   Toledo 45300 Spain;OPTICA OCAÑA 2;CALLE MAYOR, Nº 13;;Toledo;45300;Spain
ES925809866;OPTICA CENTRO VISIÓN AVDA. GREGORIO RUIZ, 1   Toledo 45600 Spain;OPTICA CENTRO VISIÓN;AVDA. GREGORIO RUIZ, 1;;Toledo;45600;Spain
ES925812543;OPTICA TRINIDAD TRINIDAD, 4   Toledo 45600 Spain;OPTICA TRINIDAD;TRINIDAD, 4;;Toledo;45600;Spain
ES926216921;MERCAPOSTA OPTICOS   POSTAS, 17   Ciudad Real 13001 Spain;MERCAPOSTA OPTICOS;  POSTAS, 17;;Ciudad Real;13001;Spain
ES926319686;OPTICA MORAL MERCEDES, 31   Ciudad Real 13350 Spain;OPTICA MORAL;MERCEDES, 31;;Ciudad Real;13350;Spain
ES926325315;OPTICA VARELA RUA AS TEIXUGUEIRAS, 16   Pontevedra 36212 Spain;OPTICA VARELA;RUA AS TEIXUGUEIRAS, 16;;Pontevedra;36212;Spain
ES926343272;C. OPTICO-AUDITIVO STA.LUCÍA   CAPITAN CASADO, 7   Ciudad Real 13730 Spain;C. OPTICO-AUDITIVO STA.LUCÍA;  CAPITAN CASADO, 7;;Ciudad Real;13730;Spain
ES926424691;OPTICA EPAT PRIMERA OPTICOS RICARDO CABAÑERO, 2   Ciudad Real 13500 Spain;OPTICA EPAT PRIMERA OPTICOS;RICARDO CABAÑERO, 2;;Ciudad Real;13500;Spain
ES926483096;DARRO 36 DARRO, 36   Ciudad Real 13580 Spain;DARRO 36;DARRO, 36;;Ciudad Real;13580;Spain
ES926510036;OPTICA CONTRERAS-TOMELLOSO DON VICTOR, 32   Ciudad Real 13700 Spain;OPTICA CONTRERAS-TOMELLOSO;DON VICTOR, 32;;Ciudad Real;13700;Spain
ES926521883;OPTICA MATEOS JUAN DE ZUÑIGA, 30   Ciudad Real 13710 Spain;OPTICA MATEOS;JUAN DE ZUÑIGA, 30;;Ciudad Real;13710;Spain
ES926804323;FARM-OPT FCO ASIS LOPEZ MORENO   PIO XII, Nº 5   Ciudad Real 13680 Spain;FARM-OPT FCO ASIS LOPEZ MORENO;  PIO XII, Nº 5;;Ciudad Real;13680;Spain
ES926897034;CENTRO OPTICO VILLARRUBIA CHURRUCA, 1   Ciudad Real 13670 Spain;CENTRO OPTICO VILLARRUBIA;CHURRUCA, 1;;Ciudad Real;13670;Spain
ES927161539;OPTICA RUAL MONTEPIO, 10   Cáceres 10100 Spain;OPTICA RUAL;MONTEPIO, 10;;Cáceres;10100;Spain
ES927211474;OPTICA CARLOS AVDA. DE PORTUGAL, 2   Cáceres 10001 Spain;OPTICA CARLOS;AVDA. DE PORTUGAL, 2;;Cáceres;10001;Spain
ES927212663;CENTRO OPTICO COCA SAN ANTON, 28   Cáceres 10004 Spain;CENTRO OPTICO COCA;SAN ANTON, 28;;Cáceres;10004;Spain
ES927290608;OPTICASAR PASEO DE EXTREMADURA, Nº 17   Cáceres 10190 Spain;OPTICASAR;PASEO DE EXTREMADURA, Nº 17;;Cáceres;10190;Spain
ES927421168;OPTICA DIAZ   TALAVERA, 33   Cáceres 10600 Spain;OPTICA DIAZ;  TALAVERA, 33;;Cáceres;10600;Spain
ES927473425;OPTICA LUBIAN BRAULIO NAVAS, 16   Cáceres 10700 Spain;OPTICA LUBIAN;BRAULIO NAVAS, 16;;Cáceres;10700;Spain
ES928263295;OPTICA SANTA CATALINA   GENERAL VIVES, 72 BAJO   Las Palmas 35007 Spain;OPTICA SANTA CATALINA;  GENERAL VIVES, 72 BAJO;;Las Palmas;35007;Spain
ES928414759;OPTICA 7 PALMAS AVDA. PINTOR FELO MONZON , 17   Las Palmas 35019 Spain;OPTICA 7 PALMAS;AVDA. PINTOR FELO MONZON , 17;;Las Palmas;35019;Spain
ES928532435;CENTRO OPTICO LEON Y CASTILLO LEON Y CASTILLO, 103   Las Palmas 35600 Spain;CENTRO OPTICO LEON Y CASTILLO;LEON Y CASTILLO, 103;;Las Palmas;35600;Spain
ES928810278;OPTICA CENTRO JOSE ANTONIO, 17   Las Palmas 35500 Spain;OPTICA CENTRO;JOSE ANTONIO, 17;;Las Palmas;35500;Spain
ES928816547;OPTICA BULEVAR   JOSE MOLINA, Nº 7 LOCAL 10   Las Palmas 35500 Spain;OPTICA BULEVAR;  JOSE MOLINA, Nº 7 LOCAL 10;;Las Palmas;35500;Spain
ES928834036;OPTICA TIAS   LIBERTAD, 34   Las Palmas 35572 Spain;OPTICA TIAS;  LIBERTAD, 34;;Las Palmas;35572;Spain
ES928871038;OPTICA FUERTEVENTURA MATIAS LOPEZ, 11   Las Palmas 35620 Spain;OPTICA FUERTEVENTURA;MATIAS LOPEZ, 11;;Las Palmas;35620;Spain
ES928881351;FARMACIA-OPTICA MUÑOZ-LASTRA CAPITAN QUESADA, 6   Las Palmas 35460 Spain;FARMACIA-OPTICA MUÑOZ-LASTRA;CAPITAN QUESADA, 6;;Las Palmas;35460;Spain
ES932091989;OPTICA CAPMANY  MUNTANER 357   Barcelona 8021 Spain;OPTICA CAPMANY; MUNTANER 357;;Barcelona;8021;Spain
ES932177107;VERDI OPTICS   VERDI, 51   Barcelona 8012 Spain;VERDI OPTICS;  VERDI, 51;;Barcelona;8012;Spain
ES932444394;2LLABONA OPTIKA NUEVA, 23 A   Guipuzcoa 20150 Spain;2LLABONA OPTIKA;NUEVA, 23 A;;Guipuzcoa;20150;Spain
ES932640745;OPTICA COLOM AVDA. EUROPA, 203-209   Barcelona 8907 Spain;OPTICA COLOM;AVDA. EUROPA, 203-209;;Barcelona;8907;Spain
ES932840807;OPTILENTS AVDA.MARE DEU DE MONTSERRAT,45   Barcelona 8024 Spain;OPTILENTS;AVDA.MARE DEU DE MONTSERRAT,45;;Barcelona;8024;Spain
ES933003478;OPTICA POBLENOU MARIA AGUILO, 88   Barcelona 8005 Spain;OPTICA POBLENOU;MARIA AGUILO, 88;;Barcelona;8005;Spain
ES933019726;OPTICA SISQUELLA SANTA ANNA, 22   Barcelona 8002 Spain;OPTICA SISQUELLA;SANTA ANNA, 22;;Barcelona;8002;Spain
ES933118651;FARM. OPT. LEANDRO FERNANDEZ AV. MERIDIANA, 344   Barcelona 8027 Spain;FARM. OPT. LEANDRO FERNANDEZ;AV. MERIDIANA, 344;;Barcelona;8027;Spain
ES933255760;BIELSA OPTICS   CALABRIA, 52   Barcelona 8015 Spain;BIELSA OPTICS;  CALABRIA, 52;;Barcelona;8015;Spain
ES933332396;OPTICA 2020 TRAVESERA DE LAS CORTS, 28   Barcelona 8903 Spain;OPTICA 2020;TRAVESERA DE LAS CORTS, 28;;Barcelona;8903;Spain
ES933593004;OPTICA VIÑAS VIA JULIA, 197   Barcelona 8042 Spain;OPTICA VIÑAS;VIA JULIA, 197;;Barcelona;8042;Spain
ES933756501;VILLENA BUENESTAR,33   Barcelona 8940 Spain;VILLENA;BUENESTAR,33;;Barcelona;8940;Spain
ES933999190;L'OPTICA   GUELL I FERRER, 81   Barcelona 8912 Spain;L'OPTICA;  GUELL I FERRER, 81;;Barcelona;8912;Spain
ES934207484;OPTICA DEL RIO   DANTE ALIGHIERI, 127   Barcelona 8032 Spain;OPTICA DEL RIO;  DANTE ALIGHIERI, 127;;Barcelona;8032;Spain
ES934374686;OPTICA PUBILLAS CASAS LA MINA, 2   Barcelona 8906 Spain;OPTICA PUBILLAS CASAS;LA MINA, 2;;Barcelona;8906;Spain
ES934530943;OPTICA CODE   MUNTANER, 83   Barcelona 8011 Spain;OPTICA CODE;  MUNTANER, 83;;Barcelona;8011;Spain
ES934561173;OPTICA NOVA   INDUSTRIA, 289   Barcelona 8041 Spain;OPTICA NOVA;  INDUSTRIA, 289;;Barcelona;8041;Spain
ES934583933;ARTIVER OPTICS  SARDENYA 365   Barcelona 8025 Spain;ARTIVER OPTICS; SARDENYA 365;;Barcelona;8025;Spain
ES934622429;OPTICA SANT ADRIA AVDA. CATALUNYA, 17   Barcelona 8930 Spain;OPTICA SANT ADRIA;AVDA. CATALUNYA, 17;;Barcelona;8930;Spain
ES934881728;LLOBET OPTICS CONSELL DE CENT, 352   Barcelona 8009 Spain;LLOBET OPTICS;CONSELL DE CENT, 352;;Barcelona;8009;Spain
ES935107083;OPTICA DURAN MASQUEFA, 11   Barcelona 8700 Spain;OPTICA DURAN;MASQUEFA, 11;;Barcelona;8700;Spain
ES935622753;OPTICA PARETS BARCELONA, 6   Barcelona 8150 Spain;OPTICA PARETS;BARCELONA, 6;;Barcelona;8150;Spain
ES935920479;CENTRE OPTIC RIPOVISIÓ RAMBLA SANT JORDI,  Nº 71   Barcelona 8291 Spain;CENTRE OPTIC RIPOVISIÓ;RAMBLA SANT JORDI,  Nº 71;;Barcelona;8291;Spain
